close,high,low,open,startTime,time,volume
11.275,11.38,11.195,11.195,2020-07-20T23:00:00+00:00,1595286000000.0,596.168675
9.615,9.865,9.52,9.8525,2020-07-27T23:00:00+00:00,1595890800000.0,0.0
9.8525,9.865,9.415,9.445,2020-07-27T22:00:00+00:00,1595887200000.0,389.7439
9.445,9.7025,9.415,9.7025,2020-07-27T21:00:00+00:00,1595883600000.0,181.40545
9.7025,9.8025,9.6775,9.7325,2020-07-27T20:00:00+00:00,1595880000000.0,0.0
9.7325,9.8025,9.67,9.7325,2020-07-27T19:00:00+00:00,1595876400000.0,0.0
9.7325,9.8125,9.7,9.8125,2020-07-27T18:00:00+00:00,1595872800000.0,50.482875
9.8125,9.8125,9.56,9.635,2020-07-27T17:00:00+00:00,1595869200000.0,0.8732
9.635,9.715,9.615,9.615,2020-07-27T16:00:00+00:00,1595865600000.0,3074.57155
9.615,9.7525,9.5,9.5,2020-07-27T15:00:00+00:00,1595862000000.0,1571.219775
9.5,10.09,9.5,10.09,2020-07-27T14:00:00+00:00,1595858400000.0,8161.2351
10.09,10.15,10.035,10.1275,2020-07-27T13:00:00+00:00,1595854800000.0,3627.4125
10.1275,10.16,10.095,10.14,2020-07-27T12:00:00+00:00,1595851200000.0,1787.52765
10.14,10.17,9.9425,10.1525,2020-07-27T11:00:00+00:00,1595847600000.0,6229.2691
10.1525,10.69,10.1525,10.69,2020-07-27T10:00:00+00:00,1595844000000.0,9440.9822
10.69,10.6925,10.55,10.6925,2020-07-27T09:00:00+00:00,1595840400000.0,2279.9952
10.6925,10.6925,10.56,10.64,2020-07-27T08:00:00+00:00,1595836800000.0,1614.75085
10.64,10.9525,10.64,10.9525,2020-07-27T07:00:00+00:00,1595833200000.0,801.9071
10.9525,10.9525,10.78,10.78,2020-07-27T06:00:00+00:00,1595829600000.0,3874.54185
10.78,10.83,10.7575,10.7875,2020-07-27T05:00:00+00:00,1595826000000.0,7183.7083
10.7875,11.02,10.7875,11.0,2020-07-27T04:00:00+00:00,1595822400000.0,11236.006675
