close,high,low,open,startTime,time,volume
1.155,1.159,1.126,1.136,2020-07-20T23:00:00+00:00,1595286000000.0,0.0
1.116,1.135,1.116,1.117,2020-07-27T23:00:00+00:00,1595890800000.0,0.0
1.117,1.14,1.109,1.139,2020-07-27T22:00:00+00:00,1595887200000.0,0.0
1.139,1.152,1.117,1.148,2020-07-27T21:00:00+00:00,1595883600000.0,0.0
1.148,1.148,1.117,1.119,2020-07-27T20:00:00+00:00,1595880000000.0,0.0
1.119,1.12,1.117,1.117,2020-07-27T19:00:00+00:00,1595876400000.0,111.7
1.117,1.124,1.11,1.116,2020-07-27T18:00:00+00:00,1595872800000.0,111.7
1.116,1.144,1.109,1.134,2020-07-27T17:00:00+00:00,1595869200000.0,526.24
1.134,1.151,1.108,1.109,2020-07-27T16:00:00+00:00,1595865600000.0,7590.1431
1.109,1.202,1.106,1.202,2020-07-27T15:00:00+00:00,1595862000000.0,26844.344
1.202,1.222,1.169,1.202,2020-07-27T14:00:00+00:00,1595858400000.0,0.0
1.202,1.212,1.157,1.172,2020-07-27T13:00:00+00:00,1595854800000.0,3009.949
1.172,1.176,1.137,1.144,2020-07-27T12:00:00+00:00,1595851200000.0,6.2478
1.144,1.148,1.127,1.148,2020-07-27T11:00:00+00:00,1595847600000.0,0.0
1.148,1.154,1.131,1.133,2020-07-27T10:00:00+00:00,1595844000000.0,2558.2761
1.133,1.146,1.133,1.146,2020-07-27T09:00:00+00:00,1595840400000.0,2292.0
1.146,1.158,1.129,1.134,2020-07-27T08:00:00+00:00,1595836800000.0,0.0
1.134,1.156,1.1,1.1,2020-07-27T07:00:00+00:00,1595833200000.0,0.0
1.1,1.122,1.088,1.092,2020-07-27T06:00:00+00:00,1595829600000.0,550.0
1.092,1.108,1.087,1.099,2020-07-27T05:00:00+00:00,1595826000000.0,0.0
1.099,1.126,1.098,1.11,2020-07-27T04:00:00+00:00,1595822400000.0,0.0
1.11,1.169,1.103,1.16,2020-07-27T03:00:00+00:00,1595818800000.0,0.0
