close,high,low,open,startTime,time,volume
1.112,1.117,1.09,1.091,2020-07-20T23:00:00+00:00,1595286000000.0,14004.0681
1.077,1.115,1.076,1.083,2020-07-27T23:00:00+00:00,1595890800000.0,9344.5734
1.083,1.109,1.071,1.109,2020-07-27T22:00:00+00:00,1595887200000.0,36852.861
1.109,1.121,1.084,1.121,2020-07-27T21:00:00+00:00,1595883600000.0,19584.7737
1.121,1.122,1.086,1.089,2020-07-27T20:00:00+00:00,1595880000000.0,14284.7821
1.089,1.089,1.068,1.075,2020-07-27T19:00:00+00:00,1595876400000.0,5808.5956
1.075,1.078,1.056,1.071,2020-07-27T18:00:00+00:00,1595872800000.0,13073.8496
1.071,1.096,1.06,1.093,2020-07-27T17:00:00+00:00,1595869200000.0,20510.4143
1.093,1.116,1.06,1.073,2020-07-27T16:00:00+00:00,1595865600000.0,56963.0681
1.073,1.15,1.062,1.15,2020-07-27T15:00:00+00:00,1595862000000.0,143755.3092
1.15,1.186,1.117,1.156,2020-07-27T14:00:00+00:00,1595858400000.0,185683.5842
1.156,1.168,1.11,1.133,2020-07-27T13:00:00+00:00,1595854800000.0,49083.6569
1.133,1.136,1.087,1.095,2020-07-27T12:00:00+00:00,1595851200000.0,20817.9459
1.095,1.103,1.082,1.103,2020-07-27T11:00:00+00:00,1595847600000.0,11358.5047
1.103,1.109,1.074,1.086,2020-07-27T10:00:00+00:00,1595844000000.0,34348.8771
1.086,1.105,1.081,1.094,2020-07-27T09:00:00+00:00,1595840400000.0,3717.5903
1.094,1.113,1.091,1.098,2020-07-27T08:00:00+00:00,1595836800000.0,7096.442
1.098,1.112,1.055,1.056,2020-07-27T07:00:00+00:00,1595833200000.0,39414.816
1.056,1.079,1.044,1.055,2020-07-27T06:00:00+00:00,1595829600000.0,18676.0433
1.055,1.066,1.046,1.061,2020-07-27T05:00:00+00:00,1595826000000.0,28510.9663
1.061,1.082,1.05,1.071,2020-07-27T04:00:00+00:00,1595822400000.0,30136.1873
1.071,1.119,1.063,1.114,2020-07-27T03:00:00+00:00,1595818800000.0,32063.6012
