close,high,low,open,startTime,time,volume
1963.5,1963.5,1845.5,1845.5,2020-07-20T23:00:00+00:00,1595286000000.0,1718.00115
1356.0,1475.0,1356.0,1365.0,2020-07-27T23:00:00+00:00,1595890800000.0,310.81295
1365.0,1381.0,1311.0,1378.5,2020-07-27T22:00:00+00:00,1595887200000.0,2007.65355
1378.5,1549.0,1311.0,1414.5,2020-07-27T21:00:00+00:00,1595883600000.0,5218.327
1414.5,1487.5,1368.5,1368.5,2020-07-27T20:00:00+00:00,1595880000000.0,3018.52175
1368.5,1368.5,1343.0,1363.0,2020-07-27T19:00:00+00:00,1595876400000.0,0.0
1363.0,1368.5,1302.0,1327.5,2020-07-27T18:00:00+00:00,1595872800000.0,99.9005
1327.5,1423.5,1302.5,1423.5,2020-07-27T17:00:00+00:00,1595869200000.0,4080.3909
1423.5,1437.0,1220.0,1253.5,2020-07-27T16:00:00+00:00,1595865600000.0,2817.7523
1253.5,1566.0,1220.0,1566.0,2020-07-27T15:00:00+00:00,1595862000000.0,6140.1751
1566.0,1697.5,1523.0,1579.0,2020-07-27T14:00:00+00:00,1595858400000.0,350.874
1579.0,1627.5,1454.5,1501.0,2020-07-27T13:00:00+00:00,1595854800000.0,1923.8171
1501.0,1519.0,1415.5,1430.0,2020-07-27T12:00:00+00:00,1595851200000.0,165.4584
1430.0,1458.5,1398.5,1458.5,2020-07-27T11:00:00+00:00,1595847600000.0,5094.96525
1458.5,1460.0,1384.0,1413.5,2020-07-27T10:00:00+00:00,1595844000000.0,69.8064
1413.5,1463.5,1413.0,1463.5,2020-07-27T09:00:00+00:00,1595840400000.0,1825.11885
1463.5,1464.0,1365.0,1419.5,2020-07-27T08:00:00+00:00,1595836800000.0,155.2725
1419.5,1423.5,1208.5,1208.5,2020-07-27T07:00:00+00:00,1595833200000.0,112.1626
1208.5,1275.0,1208.5,1235.0,2020-07-27T06:00:00+00:00,1595829600000.0,4099.61425
1235.0,1307.5,1233.0,1270.0,2020-07-27T05:00:00+00:00,1595826000000.0,2342.09605
1270.0,1380.0,1270.0,1330.0,2020-07-27T04:00:00+00:00,1595822400000.0,460.2108
1330.0,1445.0,1325.0,1411.5,2020-07-27T03:00:00+00:00,1595818800000.0,31.92
1411.5,1461.5,1296.5,1440.0,2020-07-27T02:00:00+00:00,1595815200000.0,1221.2562
1440.0,1614.5,1400.0,1614.5,2020-07-27T01:00:00+00:00,1595811600000.0,1258.3523
1614.5,1630.5,1510.5,1630.5,2020-07-27T00:00:00+00:00,1595808000000.0,212.7075
1630.5,1630.5,1510.5,1510.5,2020-07-26T23:00:00+00:00,1595804400000.0,3248.07935
1510.5,1600.0,1510.5,1600.0,2020-07-26T22:00:00+00:00,1595800800000.0,1022.7733
1600.0,1812.5,1570.0,1570.0,2020-07-26T21:00:00+00:00,1595797200000.0,4130.0654
1570.0,1750.0,1561.5,1750.0,2020-07-26T20:00:00+00:00,1595793600000.0,3577.7907
1750.0,1859.5,1704.0,1859.5,2020-07-26T19:00:00+00:00,1595790000000.0,293.7256
1859.5,1859.5,1842.0,1852.5,2020-07-26T18:00:00+00:00,1595786400000.0,0.0
1852.5,1859.5,1852.5,1859.5,2020-07-26T17:00:00+00:00,1595782800000.0,0.0
1859.5,2029.5,1859.5,1926.0,2020-07-26T16:00:00+00:00,1595779200000.0,112.1988
1926.0,2036.0,1926.0,2036.0,2020-07-26T15:00:00+00:00,1595775600000.0,9.8226
2036.0,2036.0,1983.5,2011.5,2020-07-26T14:00:00+00:00,1595772000000.0,5114.12445
2011.5,2044.5,1843.5,1898.0,2020-07-26T13:00:00+00:00,1595768400000.0,4525.30125
1898.0,1931.0,1807.0,1807.0,2020-07-26T12:00:00+00:00,1595764800000.0,1547.8587
1807.0,1847.5,1680.0,1700.0,2020-07-26T11:00:00+00:00,1595761200000.0,103.9025
1700.0,1912.0,1675.0,1876.5,2020-07-26T10:00:00+00:00,1595757600000.0,6927.6251
1876.5,1911.5,1799.5,1840.0,2020-07-26T09:00:00+00:00,1595754000000.0,1177.0855
1840.0,1883.0,1717.5,1731.0,2020-07-26T08:00:00+00:00,1595750400000.0,45.3488
1731.0,1760.5,1606.5,1694.0,2020-07-26T07:00:00+00:00,1595746800000.0,847.12
1694.0,1694.0,1606.5,1629.0,2020-07-26T06:00:00+00:00,1595743200000.0,560.9898
1629.0,1629.0,1629.0,1629.0,2020-07-26T05:00:00+00:00,1595739600000.0,0.0
1629.0,1633.5,1535.0,1535.0,2020-07-26T04:00:00+00:00,1595736000000.0,2125.58685
1535.0,1626.0,1510.0,1626.0,2020-07-26T03:00:00+00:00,1595732400000.0,819.262
1626.0,1696.0,1626.0,1696.0,2020-07-26T02:00:00+00:00,1595728800000.0,1677.7907
1696.0,1766.5,1696.0,1766.5,2020-07-26T01:00:00+00:00,1595725200000.0,34.0896
1766.5,1766.5,1766.5,1766.5,2020-07-26T00:00:00+00:00,1595721600000.0,0.0
1766.5,1846.0,1699.5,1846.0,2020-07-25T23:00:00+00:00,1595718000000.0,2850.60605
1846.0,1920.5,1830.0,1914.5,2020-07-25T22:00:00+00:00,1595714400000.0,0.0
1914.5,2033.0,1710.5,1733.5,2020-07-25T21:00:00+00:00,1595710800000.0,7806.4899
1733.5,1858.0,1706.0,1844.5,2020-07-25T20:00:00+00:00,1595707200000.0,4743.5555
1844.5,1844.5,1699.0,1814.0,2020-07-25T19:00:00+00:00,1595703600000.0,675.3642
1814.0,1845.0,1791.5,1845.0,2020-07-25T18:00:00+00:00,1595700000000.0,47.87865
1845.0,1850.0,1707.5,1814.5,2020-07-25T17:00:00+00:00,1595696400000.0,12085.06365
1814.5,2181.5,1807.0,2152.0,2020-07-25T16:00:00+00:00,1595692800000.0,19945.7595
2152.0,2183.0,1936.0,1936.0,2020-07-25T15:00:00+00:00,1595689200000.0,6121.98165
1936.0,1936.0,1670.5,1678.5,2020-07-25T14:00:00+00:00,1595685600000.0,14629.77235
1678.5,1692.5,1630.0,1630.0,2020-07-25T13:00:00+00:00,1595682000000.0,215.72505
1630.0,1814.0,1597.0,1814.0,2020-07-25T12:00:00+00:00,1595678400000.0,13348.074
1814.0,1827.0,1650.0,1657.0,2020-07-25T11:00:00+00:00,1595674800000.0,813.3564
1657.0,1673.0,1548.5,1600.0,2020-07-25T10:00:00+00:00,1595671200000.0,2616.8532
