close,high,low,open,startTime,time,volume
1.104,1.119,1.08,1.086,2020-07-20T23:00:00+00:00,1595286000000.0,1073.4198
1.063,1.097,1.063,1.066,2020-07-27T23:00:00+00:00,1595890800000.0,19.9194
1.066,1.104,1.057,1.099,2020-07-27T22:00:00+00:00,1595887200000.0,1406.6847
1.099,1.112,1.075,1.108,2020-07-27T21:00:00+00:00,1595883600000.0,16.4985
1.108,1.112,1.073,1.076,2020-07-27T20:00:00+00:00,1595880000000.0,346.2719
1.076,1.076,1.061,1.063,2020-07-27T19:00:00+00:00,1595876400000.0,23.6308
1.063,1.07,1.05,1.059,2020-07-27T18:00:00+00:00,1595872800000.0,24.7714
1.059,1.087,1.05,1.083,2020-07-27T17:00:00+00:00,1595869200000.0,43.1421
1.083,1.111,1.06,1.062,2020-07-27T16:00:00+00:00,1595865600000.0,39.7334
1.062,1.14,1.053,1.14,2020-07-27T15:00:00+00:00,1595862000000.0,1229.3779
1.14,1.177,1.103,1.141,2020-07-27T14:00:00+00:00,1595858400000.0,12173.9049
1.141,1.159,1.102,1.122,2020-07-27T13:00:00+00:00,1595854800000.0,4510.678
1.122,1.127,1.083,1.09,2020-07-27T12:00:00+00:00,1595851200000.0,7205.8247
1.09,1.099,1.074,1.095,2020-07-27T11:00:00+00:00,1595847600000.0,3047.7937
1.095,1.114,1.072,1.076,2020-07-27T10:00:00+00:00,1595844000000.0,2004.7266
1.076,1.1,1.076,1.098,2020-07-27T09:00:00+00:00,1595840400000.0,48.3832
1.098,1.111,1.086,1.089,2020-07-27T08:00:00+00:00,1595836800000.0,1795.1055
1.089,1.108,1.046,1.047,2020-07-27T07:00:00+00:00,1595833200000.0,3297.5697
1.047,1.07,1.044,1.047,2020-07-27T06:00:00+00:00,1595829600000.0,1209.8941
1.047,1.057,1.047,1.055,2020-07-27T05:00:00+00:00,1595826000000.0,3491.1368
1.055,1.071,1.055,1.06,2020-07-27T04:00:00+00:00,1595822400000.0,1770.3641
1.06,1.11,1.054,1.101,2020-07-27T03:00:00+00:00,1595818800000.0,757.3322
1.101,1.114,1.046,1.098,2020-07-27T02:00:00+00:00,1595815200000.0,5082.9952
1.098,1.137,1.067,1.133,2020-07-27T01:00:00+00:00,1595811600000.0,345.155
1.133,1.145,1.109,1.131,2020-07-27T00:00:00+00:00,1595808000000.0,15.5342
1.131,1.131,1.11,1.112,2020-07-26T23:00:00+00:00,1595804400000.0,10.4378
1.112,1.12,1.112,1.118,2020-07-26T22:00:00+00:00,1595800800000.0,23.0529
1.118,1.196,1.111,1.129,2020-07-26T21:00:00+00:00,1595797200000.0,7931.0063
1.129,1.152,1.128,1.145,2020-07-26T20:00:00+00:00,1595793600000.0,29.2524
1.145,1.179,1.134,1.178,2020-07-26T19:00:00+00:00,1595790000000.0,351.6157
1.178,1.19,1.168,1.168,2020-07-26T18:00:00+00:00,1595786400000.0,606.6128
1.168,1.203,1.163,1.184,2020-07-26T17:00:00+00:00,1595782800000.0,1139.7563
1.184,1.221,1.184,1.212,2020-07-26T16:00:00+00:00,1595779200000.0,191.999
1.212,1.235,1.204,1.228,2020-07-26T15:00:00+00:00,1595775600000.0,9.365
1.228,1.235,1.198,1.209,2020-07-26T14:00:00+00:00,1595772000000.0,61.4272
1.209,1.221,1.196,1.197,2020-07-26T13:00:00+00:00,1595768400000.0,1275.8992
1.197,1.202,1.188,1.191,2020-07-26T12:00:00+00:00,1595764800000.0,1.9106
1.191,1.2,1.154,1.156,2020-07-26T11:00:00+00:00,1595761200000.0,9.6068
1.156,1.21,1.149,1.202,2020-07-26T10:00:00+00:00,1595757600000.0,1160.0227
1.202,1.207,1.171,1.192,2020-07-26T09:00:00+00:00,1595754000000.0,8965.365
1.192,1.202,1.149,1.169,2020-07-26T08:00:00+00:00,1595750400000.0,7334.8636
1.169,1.184,1.136,1.157,2020-07-26T07:00:00+00:00,1595746800000.0,3098.4663
1.157,1.166,1.131,1.14,2020-07-26T06:00:00+00:00,1595743200000.0,6364.8748
1.14,1.143,1.113,1.123,2020-07-26T05:00:00+00:00,1595739600000.0,1.2507
1.123,1.128,1.111,1.111,2020-07-26T04:00:00+00:00,1595736000000.0,0.0
1.111,1.142,1.108,1.132,2020-07-26T03:00:00+00:00,1595732400000.0,2055.0413
1.132,1.15,1.131,1.144,2020-07-26T02:00:00+00:00,1595728800000.0,110.1685
1.144,1.159,1.141,1.155,2020-07-26T01:00:00+00:00,1595725200000.0,2835.1344
1.155,1.161,1.142,1.159,2020-07-26T00:00:00+00:00,1595721600000.0,0.0
1.159,1.169,1.138,1.166,2020-07-25T23:00:00+00:00,1595718000000.0,557.9936
1.166,1.186,1.162,1.184,2020-07-25T22:00:00+00:00,1595714400000.0,397.7729
1.184,1.222,1.139,1.139,2020-07-25T21:00:00+00:00,1595710800000.0,58627.021
1.139,1.166,1.136,1.157,2020-07-25T20:00:00+00:00,1595707200000.0,1202.9773
1.156,1.173,1.156,1.159,2020-07-25T19:00:00+00:00,1595703600000.0,500.5206
1.159,1.187,1.154,1.182,2020-07-25T18:00:00+00:00,1595700000000.0,0.581
1.182,1.184,1.132,1.157,2020-07-25T17:00:00+00:00,1595696400000.0,21793.7316
1.157,1.277,1.154,1.269,2020-07-25T16:00:00+00:00,1595692800000.0,14098.4578
1.269,1.291,1.189,1.192,2020-07-25T15:00:00+00:00,1595689200000.0,31467.4003
1.192,1.208,1.15,1.152,2020-07-25T14:00:00+00:00,1595685600000.0,8120.1962
1.152,1.166,1.135,1.144,2020-07-25T13:00:00+00:00,1595682000000.0,423.3881
1.144,1.163,1.111,1.151,2020-07-25T12:00:00+00:00,1595678400000.0,6393.2183
1.151,1.166,1.144,1.146,2020-07-25T11:00:00+00:00,1595674800000.0,1465.8275
1.146,1.162,1.099,1.108,2020-07-25T10:00:00+00:00,1595671200000.0,22033.5521
1.108,1.154,1.068,1.108,2020-07-25T09:00:00+00:00,1595667600000.0,71117.1439
1.108,1.128,1.108,1.119,2020-07-25T08:00:00+00:00,1595664000000.0,117.4939
1.119,1.132,1.119,1.126,2020-07-25T07:00:00+00:00,1595660400000.0,908.0685
1.126,1.127,1.125,1.125,2020-07-25T06:00:00+00:00,1595656800000.0,0.0
1.125,1.138,1.089,1.133,2020-07-25T05:00:00+00:00,1595653200000.0,17.2257
1.133,1.133,1.123,1.124,2020-07-25T04:00:00+00:00,1595649600000.0,147.0399
1.124,1.13,1.103,1.12,2020-07-25T03:00:00+00:00,1595646000000.0,473.9159
1.12,1.165,1.079,1.079,2020-07-25T02:00:00+00:00,1595642400000.0,7100.6922
1.079,1.125,1.062,1.075,2020-07-25T01:00:00+00:00,1595638800000.0,7750.2044
1.075,1.104,1.018,1.091,2020-07-25T00:00:00+00:00,1595635200000.0,4387.8355
1.091,1.141,1.018,1.048,2020-07-24T23:00:00+00:00,1595631600000.0,34384.8604
1.048,1.148,1.041,1.132,2020-07-24T22:00:00+00:00,1595628000000.0,3425.2051
1.132,1.152,1.071,1.076,2020-07-24T21:00:00+00:00,1595624400000.0,3309.5322
1.076,1.171,1.049,1.12,2020-07-24T20:00:00+00:00,1595620800000.0,4128.8617
1.12,1.128,1.029,1.126,2020-07-24T19:00:00+00:00,1595617200000.0,12636.5383
1.126,1.133,1.105,1.112,2020-07-24T18:00:00+00:00,1595613600000.0,4961.2172
1.112,1.128,1.104,1.123,2020-07-24T17:00:00+00:00,1595610000000.0,2361.803
1.123,1.162,1.12,1.161,2020-07-24T16:00:00+00:00,1595606400000.0,8668.8561
1.161,1.19,1.144,1.144,2020-07-24T15:00:00+00:00,1595602800000.0,2791.1249
1.143,1.158,1.127,1.145,2020-07-24T14:00:00+00:00,1595599200000.0,1327.7177
1.145,1.173,1.144,1.172,2020-07-24T13:00:00+00:00,1595595600000.0,179.0292
1.172,1.201,1.15,1.201,2020-07-24T12:00:00+00:00,1595592000000.0,1008.2173
1.201,1.217,1.178,1.179,2020-07-24T11:00:00+00:00,1595588400000.0,1440.4605
1.179,1.183,1.154,1.157,2020-07-24T10:00:00+00:00,1595584800000.0,1929.4232
1.157,1.165,1.148,1.158,2020-07-24T09:00:00+00:00,1595581200000.0,22.9956
1.158,1.158,1.147,1.151,2020-07-24T08:00:00+00:00,1595577600000.0,23.7386
1.151,1.152,1.117,1.118,2020-07-24T07:00:00+00:00,1595574000000.0,1932.9117
1.118,1.15,1.118,1.14,2020-07-24T06:00:00+00:00,1595570400000.0,1614.5428
1.14,1.14,1.085,1.113,2020-07-24T05:00:00+00:00,1595566800000.0,1755.1622
1.113,1.152,1.086,1.144,2020-07-24T04:00:00+00:00,1595563200000.0,16359.9331
1.144,1.164,1.108,1.11,2020-07-24T03:00:00+00:00,1595559600000.0,1097.9934
1.11,1.179,1.11,1.17,2020-07-24T02:00:00+00:00,1595556000000.0,4263.8745
1.17,1.198,1.163,1.194,2020-07-24T01:00:00+00:00,1595552400000.0,1696.2874
1.194,1.196,1.186,1.19,2020-07-24T00:00:00+00:00,1595548800000.0,217.5792
1.19,1.199,1.178,1.194,2020-07-23T23:00:00+00:00,1595545200000.0,60.5875
1.194,1.203,1.187,1.201,2020-07-23T22:00:00+00:00,1595541600000.0,19.0343
1.201,1.212,1.173,1.208,2020-07-23T21:00:00+00:00,1595538000000.0,1404.1513
1.208,1.223,1.198,1.215,2020-07-23T20:00:00+00:00,1595534400000.0,374.8591
1.215,1.278,1.215,1.233,2020-07-23T19:00:00+00:00,1595530800000.0,2572.9342
