close,high,low,open,startTime,time,volume
1.108,1.108,1.078,1.086,2020-07-20T23:00:00+00:00,1595286000000.0,0.0
1.075,1.094,1.069,1.069,2020-07-27T23:00:00+00:00,1595890800000.0,0.7593
1.069,1.105,1.064,1.105,2020-07-27T22:00:00+00:00,1595887200000.0,6370.1751
1.105,1.11,1.093,1.107,2020-07-27T21:00:00+00:00,1595883600000.0,4.42
1.107,1.107,1.077,1.077,2020-07-27T20:00:00+00:00,1595880000000.0,0.2206
1.077,1.077,1.056,1.06,2020-07-27T19:00:00+00:00,1595876400000.0,726.867
1.056,1.066,1.056,1.065,2020-07-27T18:00:00+00:00,1595872800000.0,1167.8833
1.065,1.084,1.063,1.079,2020-07-27T17:00:00+00:00,1595869200000.0,16.9995
1.079,1.107,1.065,1.065,2020-07-27T16:00:00+00:00,1595865600000.0,2.4499
1.065,1.159,1.064,1.152,2020-07-27T15:00:00+00:00,1595862000000.0,802.0267
1.152,1.176,1.118,1.149,2020-07-27T14:00:00+00:00,1595858400000.0,10621.2842
1.149,1.157,1.111,1.122,2020-07-27T13:00:00+00:00,1595854800000.0,2583.0455
1.122,1.127,1.082,1.089,2020-07-27T12:00:00+00:00,1595851200000.0,1071.8783
1.089,1.103,1.082,1.103,2020-07-27T11:00:00+00:00,1595847600000.0,0.1082
1.103,1.11,1.082,1.087,2020-07-27T10:00:00+00:00,1595844000000.0,153.8685
1.087,1.11,1.087,1.105,2020-07-27T09:00:00+00:00,1595840400000.0,0.0
1.105,1.11,1.092,1.092,2020-07-27T08:00:00+00:00,1595836800000.0,2715.3197
1.092,1.106,1.054,1.056,2020-07-27T07:00:00+00:00,1595833200000.0,2624.1901
1.056,1.069,1.047,1.047,2020-07-27T06:00:00+00:00,1595829600000.0,145.3546
1.047,1.068,1.047,1.059,2020-07-27T05:00:00+00:00,1595826000000.0,1300.2828
1.059,1.07,1.057,1.064,2020-07-27T04:00:00+00:00,1595822400000.0,0.1068
1.064,1.109,1.06,1.099,2020-07-27T03:00:00+00:00,1595818800000.0,558.6232
1.099,1.113,1.047,1.095,2020-07-27T02:00:00+00:00,1595815200000.0,3217.8409
1.095,1.136,1.08,1.13,2020-07-27T01:00:00+00:00,1595811600000.0,0.9777
