close,high,low,open,startTime,time,volume
1.6273,1.6458,1.6269,1.6369,2020-07-20T23:00:00+00:00,1595286000000.0,1931.24918
1.3765,1.3768,1.3519,1.3637,2020-07-27T23:00:00+00:00,1595890800000.0,601.79152
1.3637,1.3789,1.3241,1.3466,2020-07-27T22:00:00+00:00,1595887200000.0,1584.47021
1.3466,1.3845,1.3466,1.3845,2020-07-27T21:00:00+00:00,1595883600000.0,566.99234
1.3845,1.3962,1.3757,1.3888,2020-07-27T20:00:00+00:00,1595880000000.0,2269.22548
1.3888,1.39,1.3689,1.3877,2020-07-27T19:00:00+00:00,1595876400000.0,1973.06682
1.3877,1.3937,1.3351,1.3383,2020-07-27T18:00:00+00:00,1595872800000.0,3982.71889
1.3383,1.3384,1.2892,1.2972,2020-07-27T17:00:00+00:00,1595869200000.0,2490.30926
1.2972,1.3437,1.2897,1.3313,2020-07-27T16:00:00+00:00,1595865600000.0,56049.64962
1.3313,1.3361,1.276,1.2982,2020-07-27T15:00:00+00:00,1595862000000.0,66131.97373
1.2982,1.3839,1.2976,1.3839,2020-07-27T14:00:00+00:00,1595858400000.0,14701.58138
1.3839,1.4252,1.3814,1.4212,2020-07-27T13:00:00+00:00,1595854800000.0,2399.42128
1.4212,1.435,1.4212,1.43,2020-07-27T12:00:00+00:00,1595851200000.0,9176.23925
1.43,1.4306,1.4158,1.4305,2020-07-27T11:00:00+00:00,1595847600000.0,836.76971
1.4305,1.4493,1.4301,1.4374,2020-07-27T10:00:00+00:00,1595844000000.0,258.68028
1.4374,1.4535,1.4363,1.45,2020-07-27T09:00:00+00:00,1595840400000.0,226.42
1.45,1.45,1.4187,1.4191,2020-07-27T08:00:00+00:00,1595836800000.0,4361.58595
1.4191,1.4285,1.4183,1.4285,2020-07-27T07:00:00+00:00,1595833200000.0,1192.78518
1.4285,1.4317,1.4207,1.4216,2020-07-27T06:00:00+00:00,1595829600000.0,888.41143
1.4216,1.4485,1.4213,1.4301,2020-07-27T05:00:00+00:00,1595826000000.0,221.616
1.4301,1.448,1.4206,1.4206,2020-07-27T04:00:00+00:00,1595822400000.0,4629.44337
1.4206,1.4887,1.397,1.4818,2020-07-27T03:00:00+00:00,1595818800000.0,17925.1632
1.4818,1.5045,1.4817,1.5041,2020-07-27T02:00:00+00:00,1595815200000.0,295.22111
1.5038,1.5166,1.4871,1.5132,2020-07-27T01:00:00+00:00,1595811600000.0,35548.45833
1.5132,1.5556,1.5096,1.5314,2020-07-27T00:00:00+00:00,1595808000000.0,21861.20952
1.5314,1.5525,1.5195,1.52,2020-07-26T23:00:00+00:00,1595804400000.0,3053.05748
1.52,1.5231,1.515,1.5157,2020-07-26T22:00:00+00:00,1595800800000.0,3269.99688
1.5157,1.5322,1.5147,1.5183,2020-07-26T21:00:00+00:00,1595797200000.0,5932.37123
1.5183,1.5188,1.4932,1.4949,2020-07-26T20:00:00+00:00,1595793600000.0,1002.32235
1.4949,1.5018,1.4842,1.5011,2020-07-26T19:00:00+00:00,1595790000000.0,2432.91277
1.5011,1.5058,1.4973,1.5058,2020-07-26T18:00:00+00:00,1595786400000.0,2217.71622
1.5058,1.5078,1.4801,1.4801,2020-07-26T17:00:00+00:00,1595782800000.0,143.998
1.4801,1.495,1.46,1.495,2020-07-26T16:00:00+00:00,1595779200000.0,4210.97846
1.495,1.52,1.495,1.5198,2020-07-26T15:00:00+00:00,1595775600000.0,4638.2512
1.5198,1.5218,1.5172,1.5199,2020-07-26T14:00:00+00:00,1595772000000.0,1125.81327
1.5199,1.5287,1.5172,1.528,2020-07-26T13:00:00+00:00,1595768400000.0,6940.46581
1.528,1.5296,1.5,1.5265,2020-07-26T12:00:00+00:00,1595764800000.0,4595.75004
1.5265,1.532,1.517,1.5174,2020-07-26T11:00:00+00:00,1595761200000.0,5031.1828
1.5174,1.5567,1.5156,1.5564,2020-07-26T10:00:00+00:00,1595757600000.0,92246.1605
1.5564,1.5751,1.5564,1.5717,2020-07-26T09:00:00+00:00,1595754000000.0,26012.03699
1.5717,1.5908,1.5717,1.5724,2020-07-26T08:00:00+00:00,1595750400000.0,28420.18495
1.5724,1.5894,1.5724,1.5755,2020-07-26T07:00:00+00:00,1595746800000.0,8560.93526
1.5755,1.5848,1.5673,1.5775,2020-07-26T06:00:00+00:00,1595743200000.0,33839.234
1.5775,1.5799,1.5701,1.5799,2020-07-26T05:00:00+00:00,1595739600000.0,7727.73656
1.5799,1.6002,1.5765,1.585,2020-07-26T04:00:00+00:00,1595736000000.0,19289.04683
1.585,1.5893,1.5765,1.5772,2020-07-26T03:00:00+00:00,1595732400000.0,13568.98554
1.5772,1.5772,1.5613,1.5627,2020-07-26T02:00:00+00:00,1595728800000.0,1067.14153
1.5627,1.5635,1.5578,1.5619,2020-07-26T01:00:00+00:00,1595725200000.0,1170.1912
1.5619,1.5619,1.5485,1.5485,2020-07-26T00:00:00+00:00,1595721600000.0,878.28238
1.5485,1.5731,1.5471,1.5702,2020-07-25T23:00:00+00:00,1595718000000.0,9165.80667
1.5702,1.5832,1.57,1.5812,2020-07-25T22:00:00+00:00,1595714400000.0,638.29652
1.5812,1.5829,1.5753,1.5804,2020-07-25T21:00:00+00:00,1595710800000.0,0.0
1.5804,1.5847,1.575,1.5838,2020-07-25T20:00:00+00:00,1595707200000.0,3629.00663
1.5838,1.5876,1.5824,1.5873,2020-07-25T19:00:00+00:00,1595703600000.0,5826.83085
1.5873,1.5891,1.5804,1.5873,2020-07-25T18:00:00+00:00,1595700000000.0,4661.04323
1.5873,1.593,1.5728,1.5811,2020-07-25T17:00:00+00:00,1595696400000.0,5193.1773
1.5811,1.5973,1.5735,1.5735,2020-07-25T16:00:00+00:00,1595692800000.0,10231.9545
1.5735,1.5821,1.5735,1.5746,2020-07-25T15:00:00+00:00,1595689200000.0,6011.9371
1.5746,1.5814,1.5697,1.5756,2020-07-25T14:00:00+00:00,1595685600000.0,2638.40285
1.5756,1.5756,1.565,1.5708,2020-07-25T13:00:00+00:00,1595682000000.0,1588.18135
1.5708,1.5878,1.5695,1.5878,2020-07-25T12:00:00+00:00,1595678400000.0,10328.09813
1.5878,1.5911,1.586,1.5878,2020-07-25T11:00:00+00:00,1595674800000.0,1885.44242
1.5878,1.5884,1.5805,1.5823,2020-07-25T10:00:00+00:00,1595671200000.0,527.54919
1.5823,1.5891,1.5802,1.5802,2020-07-25T09:00:00+00:00,1595667600000.0,374.62305
1.5802,1.5866,1.5674,1.568,2020-07-25T08:00:00+00:00,1595664000000.0,8650.04249
1.568,1.5739,1.5677,1.5708,2020-07-25T07:00:00+00:00,1595660400000.0,7935.70078
1.5708,1.5754,1.5649,1.5718,2020-07-25T06:00:00+00:00,1595656800000.0,6905.0331
1.5718,1.59,1.5562,1.59,2020-07-25T05:00:00+00:00,1595653200000.0,11773.64914
1.59,1.5953,1.58,1.5878,2020-07-25T04:00:00+00:00,1595649600000.0,13441.02666
1.5878,1.6083,1.5813,1.6079,2020-07-25T03:00:00+00:00,1595646000000.0,5190.59781
1.6079,1.6394,1.6004,1.6054,2020-07-25T02:00:00+00:00,1595642400000.0,231.43733
1.6054,1.6054,1.5799,1.5857,2020-07-25T01:00:00+00:00,1595638800000.0,6472.02345
1.5857,1.5922,1.5575,1.5748,2020-07-25T00:00:00+00:00,1595635200000.0,24863.51681
1.5748,1.5752,1.5516,1.5516,2020-07-24T23:00:00+00:00,1595631600000.0,0.0
1.555,1.5581,1.535,1.5489,2020-07-24T22:00:00+00:00,1595628000000.0,254.52618
1.5489,1.5653,1.5452,1.5623,2020-07-24T21:00:00+00:00,1595624400000.0,0.0
1.5623,1.5648,1.5341,1.5384,2020-07-24T20:00:00+00:00,1595620800000.0,0.0
1.5384,1.564,1.5324,1.5637,2020-07-24T19:00:00+00:00,1595617200000.0,2327.52946
1.5636,1.5921,1.5513,1.59,2020-07-24T18:00:00+00:00,1595613600000.0,9843.63178
1.59,1.5928,1.5864,1.5928,2020-07-24T17:00:00+00:00,1595610000000.0,1.59
1.5928,1.5928,1.5897,1.592,2020-07-24T16:00:00+00:00,1595606400000.0,1.5928
1.592,1.5991,1.592,1.5926,2020-07-24T15:00:00+00:00,1595602800000.0,0.0
1.5926,1.6013,1.588,1.5948,2020-07-24T14:00:00+00:00,1595599200000.0,1.592
1.5948,1.6112,1.5751,1.6097,2020-07-24T13:00:00+00:00,1595595600000.0,1730.91802
1.6097,1.6203,1.6011,1.604,2020-07-24T12:00:00+00:00,1595592000000.0,610.59574
1.604,1.61,1.6014,1.6014,2020-07-24T11:00:00+00:00,1595588400000.0,284.70261
1.6014,1.6023,1.5962,1.5992,2020-07-24T10:00:00+00:00,1595584800000.0,332.88427
1.5992,1.6017,1.5952,1.5952,2020-07-24T09:00:00+00:00,1595581200000.0,317.0772
1.5952,1.5987,1.5874,1.5892,2020-07-24T08:00:00+00:00,1595577600000.0,0.0
1.5892,1.5977,1.5874,1.5914,2020-07-24T07:00:00+00:00,1595574000000.0,0.0
1.5914,1.6003,1.5884,1.5948,2020-07-24T06:00:00+00:00,1595570400000.0,0.0
1.5948,1.5973,1.5838,1.5874,2020-07-24T05:00:00+00:00,1595566800000.0,0.0
1.5871,1.5944,1.5863,1.5899,2020-07-24T04:00:00+00:00,1595563200000.0,0.0
1.5899,1.5974,1.5874,1.5943,2020-07-24T03:00:00+00:00,1595559600000.0,1370.87086
1.5943,1.6088,1.5912,1.6064,2020-07-24T02:00:00+00:00,1595556000000.0,3723.20994
1.6064,1.614,1.594,1.594,2020-07-24T01:00:00+00:00,1595552400000.0,158.25445
1.594,1.61,1.5926,1.5926,2020-07-24T00:00:00+00:00,1595548800000.0,9655.12547
1.5926,1.5949,1.5883,1.5949,2020-07-23T23:00:00+00:00,1595545200000.0,1688.09629
1.5949,1.5962,1.5912,1.5919,2020-07-23T22:00:00+00:00,1595541600000.0,679.33213
1.5919,1.595,1.5874,1.5914,2020-07-23T21:00:00+00:00,1595538000000.0,1356.39593
1.5914,1.5931,1.5883,1.5931,2020-07-23T20:00:00+00:00,1595534400000.0,3001.93414
1.5931,1.595,1.5886,1.5923,2020-07-23T19:00:00+00:00,1595530800000.0,7344.492
1.5923,1.5934,1.5876,1.5914,2020-07-23T18:00:00+00:00,1595527200000.0,2087.34982
1.5914,1.605,1.5702,1.604,2020-07-23T17:00:00+00:00,1595523600000.0,5885.02486
1.604,1.62,1.6026,1.6179,2020-07-23T16:00:00+00:00,1595520000000.0,247.54231
1.6181,1.6254,1.6132,1.6132,2020-07-23T15:00:00+00:00,1595516400000.0,293.39296
1.6133,1.6423,1.6067,1.6423,2020-07-23T14:00:00+00:00,1595512800000.0,20299.27262
1.6423,1.647,1.6335,1.6374,2020-07-23T13:00:00+00:00,1595509200000.0,38172.31207
1.6374,1.6469,1.6358,1.636,2020-07-23T12:00:00+00:00,1595505600000.0,12203.29715
1.636,1.64,1.6332,1.6378,2020-07-23T11:00:00+00:00,1595502000000.0,19655.31709
1.6378,1.6407,1.6374,1.6405,2020-07-23T10:00:00+00:00,1595498400000.0,21989.00244
1.6405,1.6433,1.635,1.6361,2020-07-23T09:00:00+00:00,1595494800000.0,481.98596
1.6361,1.6417,1.634,1.6408,2020-07-23T08:00:00+00:00,1595491200000.0,0.0
1.6408,1.641,1.6348,1.635,2020-07-23T07:00:00+00:00,1595487600000.0,0.65392
1.635,1.6425,1.6271,1.6327,2020-07-23T06:00:00+00:00,1595484000000.0,4789.6338
1.6327,1.6339,1.625,1.6329,2020-07-23T05:00:00+00:00,1595480400000.0,673.31405
1.6329,1.6414,1.6261,1.6358,2020-07-23T04:00:00+00:00,1595476800000.0,234.16705
1.6358,1.6375,1.6282,1.6312,2020-07-23T03:00:00+00:00,1595473200000.0,0.0
1.6312,1.6446,1.6299,1.6437,2020-07-23T02:00:00+00:00,1595469600000.0,405.2371
1.6437,1.6531,1.6262,1.6281,2020-07-23T01:00:00+00:00,1595466000000.0,0.0
1.6281,1.6318,1.6251,1.6251,2020-07-23T00:00:00+00:00,1595462400000.0,6372.15742
1.6251,1.6537,1.6235,1.653,2020-07-22T23:00:00+00:00,1595458800000.0,4487.7153
1.653,1.6707,1.6431,1.644,2020-07-22T22:00:00+00:00,1595455200000.0,8099.3909
1.644,1.6496,1.6418,1.6459,2020-07-22T21:00:00+00:00,1595451600000.0,1624.74098
1.6459,1.6512,1.6387,1.6423,2020-07-22T20:00:00+00:00,1595448000000.0,0.0
1.6423,1.652,1.6384,1.6451,2020-07-22T19:00:00+00:00,1595444400000.0,574.55568
