close,high,low,open,startTime,time,volume
1.633,1.6523,1.6308,1.6418,2020-07-20T23:00:00+00:00,1595286000000.0,23372.53695
1.3775,1.3775,1.3442,1.358,2020-07-27T23:00:00+00:00,1595890800000.0,30388.82677
1.358,1.3808,1.3202,1.3452,2020-07-27T22:00:00+00:00,1595887200000.0,105023.49057
1.3452,1.385,1.3437,1.385,2020-07-27T21:00:00+00:00,1595883600000.0,32768.27233
1.385,1.3992,1.3785,1.3918,2020-07-27T20:00:00+00:00,1595880000000.0,33672.44519
1.3918,1.3939,1.3697,1.3854,2020-07-27T19:00:00+00:00,1595876400000.0,15185.3924
1.3854,1.3941,1.3375,1.3444,2020-07-27T18:00:00+00:00,1595872800000.0,138532.79461
1.3444,1.3444,1.2955,1.2992,2020-07-27T17:00:00+00:00,1595869200000.0,229544.85592
1.2983,1.3558,1.29,1.3339,2020-07-27T16:00:00+00:00,1595865600000.0,263843.38963
1.3339,1.3376,1.2566,1.2834,2020-07-27T15:00:00+00:00,1595862000000.0,265053.03129
1.2834,1.3659,1.2736,1.3659,2020-07-27T14:00:00+00:00,1595858400000.0,407130.10187
1.3659,1.4129,1.3636,1.4126,2020-07-27T13:00:00+00:00,1595854800000.0,130266.94005
1.4126,1.4195,1.4051,1.4151,2020-07-27T12:00:00+00:00,1595851200000.0,34098.62656
1.4151,1.4151,1.3986,1.4123,2020-07-27T11:00:00+00:00,1595847600000.0,14924.38526
1.4123,1.428,1.4123,1.4195,2020-07-27T10:00:00+00:00,1595844000000.0,33773.11302
1.4195,1.4378,1.416,1.4345,2020-07-27T09:00:00+00:00,1595840400000.0,58125.15167
1.4345,1.4357,1.4,1.4024,2020-07-27T08:00:00+00:00,1595836800000.0,69351.28004
1.4024,1.4152,1.4001,1.4151,2020-07-27T07:00:00+00:00,1595833200000.0,38000.67298
1.4151,1.4201,1.4041,1.4047,2020-07-27T06:00:00+00:00,1595829600000.0,42913.56737
1.4047,1.4334,1.4043,1.4148,2020-07-27T05:00:00+00:00,1595826000000.0,30620.8611
1.4148,1.4323,1.4005,1.4039,2020-07-27T04:00:00+00:00,1595822400000.0,84132.63494
1.4039,1.4751,1.3792,1.4654,2020-07-27T03:00:00+00:00,1595818800000.0,355657.45663
1.4654,1.4862,1.462,1.4854,2020-07-27T02:00:00+00:00,1595815200000.0,19699.68197
1.4854,1.5007,1.4663,1.4969,2020-07-27T01:00:00+00:00,1595811600000.0,95935.32544
1.497,1.537,1.4864,1.5168,2020-07-27T00:00:00+00:00,1595808000000.0,183099.06733
1.5168,1.5255,1.5038,1.5086,2020-07-26T23:00:00+00:00,1595804400000.0,116375.63971
1.5086,1.5111,1.4995,1.5009,2020-07-26T22:00:00+00:00,1595800800000.0,30073.26426
1.5009,1.5165,1.4996,1.5057,2020-07-26T21:00:00+00:00,1595797200000.0,41347.54637
1.5057,1.5057,1.478,1.4831,2020-07-26T20:00:00+00:00,1595793600000.0,43878.1622
1.4831,1.4885,1.4698,1.4859,2020-07-26T19:00:00+00:00,1595790000000.0,49904.81721
1.4859,1.4945,1.4817,1.4945,2020-07-26T18:00:00+00:00,1595786400000.0,23574.05717
1.4946,1.4952,1.4679,1.4679,2020-07-26T17:00:00+00:00,1595782800000.0,57862.82426
1.4679,1.4809,1.4432,1.4809,2020-07-26T16:00:00+00:00,1595779200000.0,208370.06663
1.4809,1.5082,1.4772,1.5059,2020-07-26T15:00:00+00:00,1595775600000.0,114568.92396
1.5059,1.5099,1.5029,1.5077,2020-07-26T14:00:00+00:00,1595772000000.0,39909.62026
1.5077,1.5149,1.5031,1.51,2020-07-26T13:00:00+00:00,1595768400000.0,73587.20034
1.51,1.5116,1.4791,1.5116,2020-07-26T12:00:00+00:00,1595764800000.0,107865.66665
1.5116,1.5117,1.498,1.5035,2020-07-26T11:00:00+00:00,1595761200000.0,53049.07153
1.5035,1.5421,1.4911,1.5414,2020-07-26T10:00:00+00:00,1595757600000.0,425597.09085
1.5414,1.5668,1.5372,1.564,2020-07-26T09:00:00+00:00,1595754000000.0,171659.6667
1.564,1.58,1.5599,1.5657,2020-07-26T08:00:00+00:00,1595750400000.0,126343.13864
1.5657,1.5799,1.5631,1.5714,2020-07-26T07:00:00+00:00,1595746800000.0,85897.48974
1.5714,1.5731,1.5608,1.5731,2020-07-26T06:00:00+00:00,1595743200000.0,51876.68523
1.5731,1.5788,1.5631,1.5749,2020-07-26T05:00:00+00:00,1595739600000.0,76968.76302
1.5749,1.6,1.5704,1.5831,2020-07-26T04:00:00+00:00,1595736000000.0,165258.23838
1.5831,1.584,1.5713,1.576,2020-07-26T03:00:00+00:00,1595732400000.0,37759.37358
1.576,1.5763,1.5569,1.5597,2020-07-26T02:00:00+00:00,1595728800000.0,38029.22669
1.5597,1.5617,1.554,1.5617,2020-07-26T01:00:00+00:00,1595725200000.0,50727.57663
1.5617,1.5627,1.541,1.5431,2020-07-26T00:00:00+00:00,1595721600000.0,156113.86832
1.5431,1.5721,1.5426,1.569,2020-07-25T23:00:00+00:00,1595718000000.0,244479.08672
1.569,1.586,1.5654,1.5803,2020-07-25T22:00:00+00:00,1595714400000.0,127455.25348
1.5803,1.586,1.572,1.575,2020-07-25T21:00:00+00:00,1595710800000.0,186546.95871
1.575,1.5854,1.5731,1.581,2020-07-25T20:00:00+00:00,1595707200000.0,161804.39242
1.581,1.588,1.5783,1.5873,2020-07-25T19:00:00+00:00,1595703600000.0,36202.82083
1.5873,1.589,1.5784,1.585,2020-07-25T18:00:00+00:00,1595700000000.0,59048.31864
1.585,1.5937,1.5693,1.5815,2020-07-25T17:00:00+00:00,1595696400000.0,96166.98234
1.5815,1.5975,1.576,1.5797,2020-07-25T16:00:00+00:00,1595692800000.0,80654.18042
1.5797,1.5882,1.5761,1.5772,2020-07-25T15:00:00+00:00,1595689200000.0,43866.91267
1.5772,1.5875,1.569,1.5794,2020-07-25T14:00:00+00:00,1595685600000.0,113439.69138
1.5794,1.5797,1.5677,1.5738,2020-07-25T13:00:00+00:00,1595682000000.0,36610.53497
1.5738,1.594,1.568,1.5927,2020-07-25T12:00:00+00:00,1595678400000.0,86569.56758
1.5927,1.5978,1.588,1.5952,2020-07-25T11:00:00+00:00,1595674800000.0,27911.61976
1.5952,1.5963,1.5827,1.5863,2020-07-25T10:00:00+00:00,1595671200000.0,28310.92689
1.5863,1.5949,1.583,1.5885,2020-07-25T09:00:00+00:00,1595667600000.0,19656.45504
1.5885,1.5974,1.57,1.5718,2020-07-25T08:00:00+00:00,1595664000000.0,76710.77618
1.5718,1.5818,1.5713,1.5785,2020-07-25T07:00:00+00:00,1595660400000.0,36477.71954
1.5785,1.5829,1.5704,1.5789,2020-07-25T06:00:00+00:00,1595656800000.0,37844.31673
1.5789,1.601,1.5628,1.6008,2020-07-25T05:00:00+00:00,1595653200000.0,176325.05843
1.6008,1.613,1.5884,1.5993,2020-07-25T04:00:00+00:00,1595649600000.0,112321.42474
1.5993,1.6262,1.5936,1.62,2020-07-25T03:00:00+00:00,1595646000000.0,152384.74247
1.6201,1.6579,1.6133,1.6226,2020-07-25T02:00:00+00:00,1595642400000.0,252055.6136
1.6226,1.6226,1.59,1.5972,2020-07-25T01:00:00+00:00,1595638800000.0,537691.20902
1.5972,1.6,1.5662,1.5859,2020-07-25T00:00:00+00:00,1595635200000.0,359663.73931
1.5859,1.5862,1.5625,1.5685,2020-07-24T23:00:00+00:00,1595631600000.0,115693.65292
1.5685,1.5696,1.5433,1.563,2020-07-24T22:00:00+00:00,1595628000000.0,33132.30233
1.563,1.5771,1.5596,1.5748,2020-07-24T21:00:00+00:00,1595624400000.0,19910.81332
1.5748,1.5748,1.5438,1.5511,2020-07-24T20:00:00+00:00,1595620800000.0,80508.55752
1.5511,1.5782,1.5411,1.5782,2020-07-24T19:00:00+00:00,1595617200000.0,295379.86673
1.5782,1.6051,1.5578,1.6033,2020-07-24T18:00:00+00:00,1595613600000.0,135056.19736
1.6033,1.6051,1.5944,1.6051,2020-07-24T17:00:00+00:00,1595610000000.0,13921.45844
1.6051,1.6052,1.5978,1.6042,2020-07-24T16:00:00+00:00,1595606400000.0,6743.42319
1.6043,1.613,1.5998,1.6083,2020-07-24T15:00:00+00:00,1595602800000.0,19700.76088
1.608,1.614,1.6001,1.6066,2020-07-24T14:00:00+00:00,1595599200000.0,12660.92447
1.6066,1.6209,1.5824,1.6171,2020-07-24T13:00:00+00:00,1595595600000.0,100490.58149
1.6171,1.6327,1.6101,1.6153,2020-07-24T12:00:00+00:00,1595592000000.0,41701.28807
1.6153,1.6205,1.6105,1.6115,2020-07-24T11:00:00+00:00,1595588400000.0,66188.43481
1.6115,1.6138,1.6064,1.609,2020-07-24T10:00:00+00:00,1595584800000.0,22125.58004
1.609,1.6164,1.6073,1.6102,2020-07-24T09:00:00+00:00,1595581200000.0,32799.76691
1.6102,1.6127,1.603,1.6048,2020-07-24T08:00:00+00:00,1595577600000.0,9928.50473
1.6048,1.6127,1.6016,1.6064,2020-07-24T07:00:00+00:00,1595574000000.0,79176.39628
1.6064,1.6149,1.6015,1.6066,2020-07-24T06:00:00+00:00,1595570400000.0,134727.12084
1.6066,1.6091,1.591,1.5968,2020-07-24T05:00:00+00:00,1595566800000.0,5491.00972
1.5968,1.609,1.593,1.603,2020-07-24T04:00:00+00:00,1595563200000.0,345.16045
1.603,1.6112,1.5995,1.6077,2020-07-24T03:00:00+00:00,1595559600000.0,5302.56892
1.6077,1.6218,1.6038,1.6166,2020-07-24T02:00:00+00:00,1595556000000.0,33833.19021
1.6166,1.624,1.6049,1.6059,2020-07-24T01:00:00+00:00,1595552400000.0,21532.33623
1.6059,1.6222,1.6018,1.6018,2020-07-24T00:00:00+00:00,1595548800000.0,69440.77132
1.602,1.6042,1.5975,1.6038,2020-07-23T23:00:00+00:00,1595545200000.0,26453.94981
1.6038,1.6068,1.6008,1.6026,2020-07-23T22:00:00+00:00,1595541600000.0,21067.89305
1.6026,1.6049,1.5932,1.5973,2020-07-23T21:00:00+00:00,1595538000000.0,28848.1225
1.5973,1.6023,1.5941,1.6014,2020-07-23T20:00:00+00:00,1595534400000.0,56295.4564
1.6014,1.603,1.5936,1.6005,2020-07-23T19:00:00+00:00,1595530800000.0,74959.46458
1.6005,1.6008,1.5893,1.5993,2020-07-23T18:00:00+00:00,1595527200000.0,159263.98106
1.5994,1.6089,1.5711,1.6089,2020-07-23T17:00:00+00:00,1595523600000.0,318975.15793
