close,high,low,open,startTime,time,volume
1.6353,1.6532,1.6353,1.644,2020-07-20T23:00:00+00:00,1595286000000.0,680.99071
1.3707,1.3707,1.343,1.3584,2020-07-27T23:00:00+00:00,1595890800000.0,502.38718
1.3584,1.3764,1.3181,1.3434,2020-07-27T22:00:00+00:00,1595887200000.0,11263.87298
1.3434,1.3808,1.3384,1.3808,2020-07-27T21:00:00+00:00,1595883600000.0,16582.37673
1.3808,1.3953,1.3771,1.3883,2020-07-27T20:00:00+00:00,1595880000000.0,11.36435
1.3883,1.3898,1.3698,1.376,2020-07-27T19:00:00+00:00,1595876400000.0,740.41214
1.376,1.3925,1.3388,1.3434,2020-07-27T18:00:00+00:00,1595872800000.0,1281.22276
1.3434,1.3439,1.2956,1.2995,2020-07-27T17:00:00+00:00,1595869200000.0,10743.07021
1.2995,1.3559,1.2982,1.3352,2020-07-27T16:00:00+00:00,1595865600000.0,9878.32246
1.3352,1.3381,1.2546,1.2844,2020-07-27T15:00:00+00:00,1595862000000.0,21178.63593
1.2844,1.3653,1.279,1.3649,2020-07-27T14:00:00+00:00,1595858400000.0,8166.58341
1.3649,1.4128,1.3645,1.4109,2020-07-27T13:00:00+00:00,1595854800000.0,221.4096
1.4109,1.4143,1.4057,1.4087,2020-07-27T12:00:00+00:00,1595851200000.0,21.47029
1.4087,1.4105,1.3997,1.4098,2020-07-27T11:00:00+00:00,1595847600000.0,183.57705
1.4098,1.4254,1.4098,1.4158,2020-07-27T10:00:00+00:00,1595844000000.0,1543.3179
1.4158,1.4342,1.4156,1.4293,2020-07-27T09:00:00+00:00,1595840400000.0,734.83554
1.4293,1.4293,1.3994,1.3996,2020-07-27T08:00:00+00:00,1595836800000.0,549.99061
1.3996,1.4135,1.3991,1.4132,2020-07-27T07:00:00+00:00,1595833200000.0,50.66242
1.4132,1.4137,1.4032,1.4042,2020-07-27T06:00:00+00:00,1595829600000.0,1503.26893
1.4042,1.4288,1.4041,1.4089,2020-07-27T05:00:00+00:00,1595826000000.0,578.63847
1.4089,1.427,1.397,1.397,2020-07-27T04:00:00+00:00,1595822400000.0,915.78898
1.397,1.4698,1.3809,1.4638,2020-07-27T03:00:00+00:00,1595818800000.0,4515.19209
1.4638,1.4806,1.4637,1.4806,2020-07-27T02:00:00+00:00,1595815200000.0,71.44536
1.4806,1.4947,1.468,1.4893,2020-07-27T01:00:00+00:00,1595811600000.0,76.06248
1.4893,1.5329,1.4835,1.5124,2020-07-27T00:00:00+00:00,1595808000000.0,898.84416
1.5124,1.5214,1.5038,1.5038,2020-07-26T23:00:00+00:00,1595804400000.0,581.8294
1.5038,1.5048,1.4977,1.4983,2020-07-26T22:00:00+00:00,1595800800000.0,12.0277
1.4983,1.5121,1.4975,1.5005,2020-07-26T21:00:00+00:00,1595797200000.0,240.76223
1.5005,1.5007,1.4758,1.4779,2020-07-26T20:00:00+00:00,1595793600000.0,63.85238
1.4779,1.4847,1.4692,1.4838,2020-07-26T19:00:00+00:00,1595790000000.0,384.04
1.4838,1.4876,1.4818,1.4876,2020-07-26T18:00:00+00:00,1595786400000.0,0.0
1.4876,1.4887,1.463,1.4633,2020-07-26T17:00:00+00:00,1595782800000.0,240.35798
1.4637,1.4833,1.439,1.4822,2020-07-26T16:00:00+00:00,1595779200000.0,2420.53206
1.4822,1.503,1.4801,1.503,2020-07-26T15:00:00+00:00,1595775600000.0,621.81213
1.503,1.5058,1.501,1.5049,2020-07-26T14:00:00+00:00,1595772000000.0,670.36796
1.5048,1.5073,1.5015,1.5046,2020-07-26T13:00:00+00:00,1595768400000.0,1.80696
1.5046,1.5078,1.4806,1.5078,2020-07-26T12:00:00+00:00,1595764800000.0,143.33044
1.5078,1.5087,1.4946,1.4979,2020-07-26T11:00:00+00:00,1595761200000.0,240.76496
1.4979,1.5415,1.4946,1.5415,2020-07-26T10:00:00+00:00,1595757600000.0,30693.62329
1.5415,1.5602,1.5414,1.5581,2020-07-26T09:00:00+00:00,1595754000000.0,1214.14344
1.5581,1.5758,1.5581,1.5638,2020-07-26T08:00:00+00:00,1595750400000.0,760.93885
1.5638,1.5724,1.5638,1.5652,2020-07-26T07:00:00+00:00,1595746800000.0,702.39934
1.5652,1.567,1.5573,1.5655,2020-07-26T06:00:00+00:00,1595743200000.0,883.22407
1.5655,1.5709,1.5606,1.5709,2020-07-26T05:00:00+00:00,1595739600000.0,385.38879
1.5709,1.5897,1.5672,1.5739,2020-07-26T04:00:00+00:00,1595736000000.0,29904.09977
1.5739,1.5742,1.5678,1.5678,2020-07-26T03:00:00+00:00,1595732400000.0,32.04712
1.5678,1.568,1.5522,1.5522,2020-07-26T02:00:00+00:00,1595728800000.0,53.0212
1.5522,1.5537,1.5506,1.5533,2020-07-26T01:00:00+00:00,1595725200000.0,0.0
1.5533,1.5533,1.5369,1.5395,2020-07-26T00:00:00+00:00,1595721600000.0,7852.93984
1.5395,1.5699,1.5372,1.567,2020-07-25T23:00:00+00:00,1595718000000.0,10059.82486
1.567,1.5821,1.5662,1.5745,2020-07-25T22:00:00+00:00,1595714400000.0,27106.56839
1.5745,1.584,1.5675,1.5714,2020-07-25T21:00:00+00:00,1595710800000.0,43604.36375
1.5714,1.5788,1.5692,1.5752,2020-07-25T20:00:00+00:00,1595707200000.0,12824.72393
1.5752,1.5821,1.5738,1.5809,2020-07-25T19:00:00+00:00,1595703600000.0,2787.6655
1.5809,1.5859,1.5745,1.5823,2020-07-25T18:00:00+00:00,1595700000000.0,704.47398
1.5823,1.5882,1.5688,1.581,2020-07-25T17:00:00+00:00,1595696400000.0,922.15235
1.581,1.5902,1.5761,1.5785,2020-07-25T16:00:00+00:00,1595692800000.0,535.47722
1.5785,1.582,1.5725,1.5725,2020-07-25T15:00:00+00:00,1595689200000.0,193.24313
1.5725,1.5782,1.57,1.5719,2020-07-25T14:00:00+00:00,1595685600000.0,417.39986
1.5719,1.5725,1.5661,1.5719,2020-07-25T13:00:00+00:00,1595682000000.0,1349.84209
1.5719,1.591,1.5691,1.5902,2020-07-25T12:00:00+00:00,1595678400000.0,3573.65122
1.5902,1.5902,1.5885,1.5887,2020-07-25T11:00:00+00:00,1595674800000.0,7.151
1.5887,1.5938,1.5821,1.5839,2020-07-25T10:00:00+00:00,1595671200000.0,1506.94606
1.5839,1.5933,1.5814,1.5814,2020-07-25T09:00:00+00:00,1595667600000.0,1285.95082
1.5814,1.5917,1.5696,1.5703,2020-07-25T08:00:00+00:00,1595664000000.0,1971.6637
1.5703,1.5768,1.5701,1.5762,2020-07-25T07:00:00+00:00,1595660400000.0,2136.71336
1.5762,1.577,1.569,1.5761,2020-07-25T06:00:00+00:00,1595656800000.0,8118.09437
1.5761,1.6008,1.5639,1.6002,2020-07-25T05:00:00+00:00,1595653200000.0,29566.02739
1.6002,1.6097,1.5864,1.5923,2020-07-25T04:00:00+00:00,1595649600000.0,11102.62964
1.5923,1.6226,1.5875,1.6175,2020-07-25T03:00:00+00:00,1595646000000.0,33269.82911
1.6175,1.6516,1.6127,1.6174,2020-07-25T02:00:00+00:00,1595642400000.0,8465.98528
1.6174,1.618,1.5896,1.5896,2020-07-25T01:00:00+00:00,1595638800000.0,2283.214
1.5896,1.6039,1.5689,1.5856,2020-07-25T00:00:00+00:00,1595635200000.0,7911.3904
1.5856,1.5856,1.5647,1.5695,2020-07-24T23:00:00+00:00,1595631600000.0,1850.64143
1.5695,1.5695,1.546,1.5635,2020-07-24T22:00:00+00:00,1595628000000.0,1085.54354
1.5635,1.5754,1.5618,1.5736,2020-07-24T21:00:00+00:00,1595624400000.0,32.25837
1.5736,1.5751,1.5463,1.5492,2020-07-24T20:00:00+00:00,1595620800000.0,1938.73253
1.5492,1.5763,1.5439,1.5763,2020-07-24T19:00:00+00:00,1595617200000.0,4933.04169
1.5763,1.6005,1.5583,1.5988,2020-07-24T18:00:00+00:00,1595613600000.0,15740.21545
