close,high,low,open,startTime,time,volume
452.5,452.5,452.0,452.5,2020-07-20T23:00:00+00:00,1595286000000.0,0.0
512.5,515.0,509.0,511.5,2020-07-27T23:00:00+00:00,1595890800000.0,24138.8855
511.5,515.0,511.5,513.0,2020-07-27T22:00:00+00:00,1595887200000.0,65136.3205
513.0,517.0,510.0,517.0,2020-07-27T21:00:00+00:00,1595883600000.0,16259.192
517.0,517.0,515.5,516.5,2020-07-27T20:00:00+00:00,1595880000000.0,25.85
516.5,517.0,514.0,514.5,2020-07-27T19:00:00+00:00,1595876400000.0,675.236
514.5,519.5,511.0,519.0,2020-07-27T18:00:00+00:00,1595872800000.0,199.642
519.0,520.0,502.0,506.0,2020-07-27T17:00:00+00:00,1595869200000.0,1763.7925
506.0,506.0,504.0,504.0,2020-07-27T16:00:00+00:00,1595865600000.0,5186.143
504.0,516.0,503.5,516.0,2020-07-27T15:00:00+00:00,1595862000000.0,4779.4205
516.0,531.0,516.0,527.0,2020-07-27T14:00:00+00:00,1595858400000.0,6253.209
527.0,527.0,519.5,520.0,2020-07-27T13:00:00+00:00,1595854800000.0,3749.763
520.0,520.0,516.0,517.0,2020-07-27T12:00:00+00:00,1595851200000.0,49.7565
517.0,517.0,516.0,516.5,2020-07-27T11:00:00+00:00,1595847600000.0,601.656
516.5,517.0,514.5,514.5,2020-07-27T10:00:00+00:00,1595844000000.0,209.43
514.5,517.5,514.0,516.0,2020-07-27T09:00:00+00:00,1595840400000.0,1597.447
516.0,516.0,511.5,513.0,2020-07-27T08:00:00+00:00,1595836800000.0,17257.8785
513.0,518.5,513.0,518.5,2020-07-27T07:00:00+00:00,1595833200000.0,2183.9095
518.5,519.0,518.5,518.5,2020-07-27T06:00:00+00:00,1595829600000.0,4510.4315
518.5,519.5,518.5,519.5,2020-07-27T05:00:00+00:00,1595826000000.0,21.798
519.5,521.0,518.0,521.0,2020-07-27T04:00:00+00:00,1595822400000.0,14444.946
521.0,527.0,521.0,526.0,2020-07-27T03:00:00+00:00,1595818800000.0,4105.5645
526.0,526.0,523.0,523.5,2020-07-27T02:00:00+00:00,1595815200000.0,4561.4365
523.5,524.0,521.5,522.0,2020-07-27T01:00:00+00:00,1595811600000.0,5002.4245
522.0,522.0,520.0,521.5,2020-07-27T00:00:00+00:00,1595808000000.0,15970.796
521.5,521.5,517.5,517.5,2020-07-26T23:00:00+00:00,1595804400000.0,8992.856
517.5,517.5,515.0,515.5,2020-07-26T22:00:00+00:00,1595800800000.0,1576.8935
515.5,516.0,513.0,514.5,2020-07-26T21:00:00+00:00,1595797200000.0,8730.6255
514.5,517.0,511.0,517.0,2020-07-26T20:00:00+00:00,1595793600000.0,3254.454
517.0,517.0,516.0,516.0,2020-07-26T19:00:00+00:00,1595790000000.0,517.0
516.0,517.0,516.0,517.0,2020-07-26T18:00:00+00:00,1595786400000.0,110.449
517.0,520.0,516.0,520.0,2020-07-26T17:00:00+00:00,1595782800000.0,203.6435
520.0,527.0,520.0,526.5,2020-07-26T16:00:00+00:00,1595779200000.0,12355.041
526.5,527.5,521.0,521.5,2020-07-26T15:00:00+00:00,1595775600000.0,3587.2345
521.5,521.5,516.0,517.0,2020-07-26T14:00:00+00:00,1595772000000.0,13444.0055
517.0,520.0,512.5,520.0,2020-07-26T13:00:00+00:00,1595768400000.0,93967.0875
520.0,530.0,519.0,530.0,2020-07-26T12:00:00+00:00,1595764800000.0,4278.2815
530.0,530.0,526.0,526.0,2020-07-26T11:00:00+00:00,1595761200000.0,580.037
526.0,546.0,523.5,545.5,2020-07-26T10:00:00+00:00,1595757600000.0,10067.473
545.5,548.0,545.0,548.0,2020-07-26T09:00:00+00:00,1595754000000.0,19.638
548.0,553.0,544.5,553.0,2020-07-26T08:00:00+00:00,1595750400000.0,10121.1605
553.0,553.5,536.5,537.0,2020-07-26T07:00:00+00:00,1595746800000.0,5573.0735
537.0,541.0,533.0,541.0,2020-07-26T06:00:00+00:00,1595743200000.0,11183.2915
541.0,548.0,538.5,540.0,2020-07-26T05:00:00+00:00,1595739600000.0,87512.455
540.0,540.5,533.0,533.0,2020-07-26T04:00:00+00:00,1595736000000.0,62197.764
533.0,533.0,530.5,530.5,2020-07-26T03:00:00+00:00,1595732400000.0,133.2405
530.5,539.0,529.0,532.5,2020-07-26T02:00:00+00:00,1595728800000.0,2448.082
532.5,533.5,528.5,530.0,2020-07-26T01:00:00+00:00,1595725200000.0,53909.4205
530.0,539.0,524.5,524.5,2020-07-26T00:00:00+00:00,1595721600000.0,17427.5035
524.5,537.5,523.5,525.0,2020-07-25T23:00:00+00:00,1595718000000.0,13846.861
525.0,525.0,519.0,519.5,2020-07-25T22:00:00+00:00,1595714400000.0,41622.442
519.5,519.5,515.5,519.5,2020-07-25T21:00:00+00:00,1595710800000.0,9465.369
519.5,519.5,517.5,518.5,2020-07-25T20:00:00+00:00,1595707200000.0,625.801
518.5,521.0,518.5,519.0,2020-07-25T19:00:00+00:00,1595703600000.0,4133.0155
519.0,519.0,510.5,510.5,2020-07-25T18:00:00+00:00,1595700000000.0,1832.1595
510.5,510.5,501.5,501.5,2020-07-25T17:00:00+00:00,1595696400000.0,8862.348
501.5,502.0,499.5,499.5,2020-07-25T16:00:00+00:00,1595692800000.0,16396.3
499.5,501.0,498.5,501.0,2020-07-25T15:00:00+00:00,1595689200000.0,6869.33
501.0,504.0,501.0,504.0,2020-07-25T14:00:00+00:00,1595685600000.0,5054.3125
