close,high,low,open,startTime,time,volume
0.5695,0.5695,0.5695,0.5695,2020-07-20T23:00:00+00:00,1595286000000.0,0.0
0.4395,0.454,0.438,0.454,2020-07-27T23:00:00+00:00,1595890800000.0,494.3579
0.454,0.4595,0.4345,0.439,2020-07-27T22:00:00+00:00,1595887200000.0,0.0
0.439,0.467,0.439,0.467,2020-07-27T21:00:00+00:00,1595883600000.0,21.6558
0.467,0.4795,0.465,0.468,2020-07-27T20:00:00+00:00,1595880000000.0,6321.45515
0.468,0.468,0.4425,0.4535,2020-07-27T19:00:00+00:00,1595876400000.0,1964.2179
0.4535,0.4585,0.4235,0.432,2020-07-27T18:00:00+00:00,1595872800000.0,5384.1916
0.432,0.4375,0.4085,0.422,2020-07-27T17:00:00+00:00,1595869200000.0,21022.04085
0.422,0.4525,0.421,0.4455,2020-07-27T16:00:00+00:00,1595865600000.0,733.75
0.4455,0.465,0.4415,0.46,2020-07-27T15:00:00+00:00,1595862000000.0,6365.14545
0.46,0.4815,0.46,0.4735,2020-07-27T14:00:00+00:00,1595858400000.0,4913.09895
0.4735,0.4895,0.469,0.48,2020-07-27T13:00:00+00:00,1595854800000.0,12065.61335
0.48,0.4975,0.48,0.484,2020-07-27T12:00:00+00:00,1595851200000.0,257.0715
0.484,0.4865,0.479,0.485,2020-07-27T11:00:00+00:00,1595847600000.0,540.87845
0.485,0.503,0.482,0.485,2020-07-27T10:00:00+00:00,1595844000000.0,0.0
0.485,0.485,0.4845,0.485,2020-07-27T09:00:00+00:00,1595840400000.0,0.0
0.485,0.4885,0.469,0.47,2020-07-27T08:00:00+00:00,1595836800000.0,84.406
0.47,0.504,0.469,0.494,2020-07-27T07:00:00+00:00,1595833200000.0,3032.90435
0.494,0.499,0.449,0.4725,2020-07-27T06:00:00+00:00,1595829600000.0,2981.3079
0.4725,0.4945,0.4725,0.483,2020-07-27T05:00:00+00:00,1595826000000.0,2468.5967
0.483,0.483,0.453,0.457,2020-07-27T04:00:00+00:00,1595822400000.0,4635.1452
0.457,0.4895,0.4515,0.4835,2020-07-27T03:00:00+00:00,1595818800000.0,1909.205
