close,high,low,open,startTime,time,volume
0.54,0.555,0.538,0.548,2020-07-20T23:00:00+00:00,1595286000000.0,2537.17265
0.439,0.4435,0.42,0.439,2020-07-27T23:00:00+00:00,1595890800000.0,7107.0535
0.439,0.4495,0.418,0.4215,2020-07-27T22:00:00+00:00,1595887200000.0,6759.1391
0.4215,0.463,0.416,0.4545,2020-07-27T21:00:00+00:00,1595883600000.0,10839.0408
0.4545,0.472,0.4385,0.4625,2020-07-27T20:00:00+00:00,1595880000000.0,16762.82165
0.4625,0.4625,0.4145,0.4365,2020-07-27T19:00:00+00:00,1595876400000.0,16837.06845
0.4365,0.439,0.408,0.4255,2020-07-27T18:00:00+00:00,1595872800000.0,35191.95335
0.4255,0.4305,0.389,0.3935,2020-07-27T17:00:00+00:00,1595869200000.0,11344.7255
0.3935,0.44,0.3895,0.4285,2020-07-27T16:00:00+00:00,1595865600000.0,37460.4428
0.4285,0.443,0.42,0.429,2020-07-27T15:00:00+00:00,1595862000000.0,25756.28695
0.429,0.4695,0.428,0.466,2020-07-27T14:00:00+00:00,1595858400000.0,34730.22865
0.466,0.47,0.4505,0.468,2020-07-27T13:00:00+00:00,1595854800000.0,11315.64215
0.468,0.484,0.4585,0.4795,2020-07-27T12:00:00+00:00,1595851200000.0,11508.59765
0.4795,0.4795,0.459,0.472,2020-07-27T11:00:00+00:00,1595847600000.0,22891.29655
0.472,0.5,0.4605,0.4745,2020-07-27T10:00:00+00:00,1595844000000.0,15215.90695
0.4745,0.475,0.46,0.4695,2020-07-27T09:00:00+00:00,1595840400000.0,1499.8979
0.4695,0.478,0.4385,0.447,2020-07-27T08:00:00+00:00,1595836800000.0,11749.98865
0.447,0.51,0.431,0.4895,2020-07-27T07:00:00+00:00,1595833200000.0,113195.20715
0.4895,0.4895,0.4385,0.4525,2020-07-27T06:00:00+00:00,1595829600000.0,39336.5388
0.4525,0.4715,0.4515,0.465,2020-07-27T05:00:00+00:00,1595826000000.0,24264.7661
0.465,0.465,0.4235,0.4345,2020-07-27T04:00:00+00:00,1595822400000.0,37368.42145
0.4345,0.475,0.4125,0.463,2020-07-27T03:00:00+00:00,1595818800000.0,53262.60415
0.463,0.4865,0.4405,0.486,2020-07-27T02:00:00+00:00,1595815200000.0,110076.1261
0.486,0.4905,0.46,0.487,2020-07-27T01:00:00+00:00,1595811600000.0,76334.3444
0.487,0.503,0.469,0.4975,2020-07-27T00:00:00+00:00,1595808000000.0,48906.8106
0.4975,0.5285,0.459,0.5105,2020-07-26T23:00:00+00:00,1595804400000.0,146487.23415
0.496,0.5525,0.4955,0.542,2020-07-26T22:00:00+00:00,1595800800000.0,107857.7364
0.542,0.5515,0.541,0.5445,2020-07-26T21:00:00+00:00,1595797200000.0,6361.13075
0.5445,0.574,0.5405,0.555,2020-07-26T20:00:00+00:00,1595793600000.0,26728.7037
0.555,0.557,0.548,0.557,2020-07-26T19:00:00+00:00,1595790000000.0,10336.4417
0.557,0.5675,0.5495,0.567,2020-07-26T18:00:00+00:00,1595786400000.0,13323.2052
0.567,0.5795,0.5585,0.5645,2020-07-26T17:00:00+00:00,1595782800000.0,58120.2895
0.5645,0.5645,0.553,0.556,2020-07-26T16:00:00+00:00,1595779200000.0,16226.3245
0.556,0.5655,0.555,0.558,2020-07-26T15:00:00+00:00,1595775600000.0,7195.40975
0.558,0.561,0.547,0.5515,2020-07-26T14:00:00+00:00,1595772000000.0,9622.1616
0.5515,0.56,0.5475,0.56,2020-07-26T13:00:00+00:00,1595768400000.0,5429.3607
0.56,0.5675,0.5465,0.5625,2020-07-26T12:00:00+00:00,1595764800000.0,28961.897
0.5625,0.5795,0.543,0.548,2020-07-26T11:00:00+00:00,1595761200000.0,27488.77705
0.548,0.576,0.5315,0.5615,2020-07-26T10:00:00+00:00,1595757600000.0,58634.91935
0.5615,0.5845,0.556,0.5845,2020-07-26T09:00:00+00:00,1595754000000.0,17511.8804
0.5845,0.5845,0.5635,0.5755,2020-07-26T08:00:00+00:00,1595750400000.0,24214.56545
0.5755,0.601,0.571,0.5795,2020-07-26T07:00:00+00:00,1595746800000.0,56377.95415
0.5795,0.609,0.5755,0.5995,2020-07-26T06:00:00+00:00,1595743200000.0,74890.379
0.5995,0.657,0.598,0.636,2020-07-26T05:00:00+00:00,1595739600000.0,67509.1414
0.636,0.6495,0.592,0.592,2020-07-26T04:00:00+00:00,1595736000000.0,300963.05195
0.592,0.6215,0.571,0.583,2020-07-26T03:00:00+00:00,1595732400000.0,150079.76345
0.583,0.5895,0.5475,0.5545,2020-07-26T02:00:00+00:00,1595728800000.0,48491.8787
0.554,0.5685,0.547,0.5685,2020-07-26T01:00:00+00:00,1595725200000.0,24193.97625
0.5685,0.58,0.528,0.532,2020-07-26T00:00:00+00:00,1595721600000.0,106940.45055
0.532,0.5665,0.5085,0.5585,2020-07-25T23:00:00+00:00,1595718000000.0,104914.3262
0.5585,0.5925,0.5355,0.5925,2020-07-25T22:00:00+00:00,1595714400000.0,65130.64975
0.5925,0.6045,0.577,0.5875,2020-07-25T21:00:00+00:00,1595710800000.0,57474.75655
0.5875,0.6255,0.571,0.62,2020-07-25T20:00:00+00:00,1595707200000.0,73454.03635
0.62,0.626,0.6055,0.6085,2020-07-25T19:00:00+00:00,1595703600000.0,17748.6158
