close,high,low,open,startTime,time,volume
0.536,0.545,0.536,0.545,2020-07-20T23:00:00+00:00,1595286000000.0,3529.08575
0.424,0.434,0.4095,0.4265,2020-07-27T23:00:00+00:00,1595890800000.0,56.65575
0.4265,0.4455,0.409,0.415,2020-07-27T22:00:00+00:00,1595887200000.0,67.6225
0.415,0.4525,0.415,0.4525,2020-07-27T21:00:00+00:00,1595883600000.0,0.4662
0.4525,0.463,0.4405,0.454,2020-07-27T20:00:00+00:00,1595880000000.0,226.2332
0.454,0.4605,0.418,0.4255,2020-07-27T19:00:00+00:00,1595876400000.0,2151.5944
0.4255,0.436,0.409,0.419,2020-07-27T18:00:00+00:00,1595872800000.0,201.25365
0.419,0.4245,0.391,0.3955,2020-07-27T17:00:00+00:00,1595869200000.0,60.03235
0.3955,0.4355,0.3955,0.4295,2020-07-27T16:00:00+00:00,1595865600000.0,407.9197
0.4295,0.439,0.415,0.4365,2020-07-27T15:00:00+00:00,1595862000000.0,672.0083
0.4365,0.4645,0.43,0.457,2020-07-27T14:00:00+00:00,1595858400000.0,3992.91215
0.457,0.4675,0.4435,0.4595,2020-07-27T13:00:00+00:00,1595854800000.0,2186.20015
0.4595,0.4735,0.4555,0.469,2020-07-27T12:00:00+00:00,1595851200000.0,282.6839
0.469,0.4705,0.451,0.4665,2020-07-27T11:00:00+00:00,1595847600000.0,213.0111
0.4665,0.49,0.4545,0.475,2020-07-27T10:00:00+00:00,1595844000000.0,324793.3582
0.475,0.475,0.4615,0.462,2020-07-27T09:00:00+00:00,1595840400000.0,62701.2889
0.462,0.473,0.4425,0.443,2020-07-27T08:00:00+00:00,1595836800000.0,1148.8252
0.443,0.5035,0.44,0.48,2020-07-27T07:00:00+00:00,1595833200000.0,3019.2561
0.48,0.486,0.4415,0.4465,2020-07-27T06:00:00+00:00,1595829600000.0,0.71795
0.4465,0.471,0.446,0.4635,2020-07-27T05:00:00+00:00,1595826000000.0,15677.85515
0.4635,0.468,0.426,0.431,2020-07-27T04:00:00+00:00,1595822400000.0,7708.7335
0.431,0.4745,0.4205,0.4615,2020-07-27T03:00:00+00:00,1595818800000.0,18883.23905
0.4615,0.487,0.4445,0.4825,2020-07-27T02:00:00+00:00,1595815200000.0,2807.18335
0.4825,0.4895,0.4545,0.4855,2020-07-27T01:00:00+00:00,1595811600000.0,10594.3227
0.4855,0.501,0.47,0.4945,2020-07-27T00:00:00+00:00,1595808000000.0,578.254
0.4945,0.528,0.474,0.519,2020-07-26T23:00:00+00:00,1595804400000.0,9267.02815
0.519,0.555,0.516,0.536,2020-07-26T22:00:00+00:00,1595800800000.0,4174.95425
0.536,0.551,0.536,0.543,2020-07-26T21:00:00+00:00,1595797200000.0,115.0475
0.543,0.568,0.5395,0.5515,2020-07-26T20:00:00+00:00,1595793600000.0,559.21875
0.5515,0.556,0.5485,0.554,2020-07-26T19:00:00+00:00,1595790000000.0,1083.8954
0.554,0.5605,0.5475,0.5605,2020-07-26T18:00:00+00:00,1595786400000.0,2640.84575
0.5605,0.5815,0.5495,0.5495,2020-07-26T17:00:00+00:00,1595782800000.0,4097.09005
0.5495,0.5685,0.5385,0.5465,2020-07-26T16:00:00+00:00,1595779200000.0,1703.5824
0.5465,0.572,0.5425,0.547,2020-07-26T15:00:00+00:00,1595775600000.0,965.10935
0.547,0.5715,0.5305,0.546,2020-07-26T14:00:00+00:00,1595772000000.0,1703.21995
0.546,0.555,0.5445,0.553,2020-07-26T13:00:00+00:00,1595768400000.0,216.3762
0.553,0.563,0.545,0.5625,2020-07-26T12:00:00+00:00,1595764800000.0,319.40305
0.5625,0.5745,0.5375,0.5455,2020-07-26T11:00:00+00:00,1595761200000.0,13.3344
0.5455,0.571,0.536,0.5545,2020-07-26T10:00:00+00:00,1595757600000.0,6781.6024
0.5545,0.5745,0.5395,0.572,2020-07-26T09:00:00+00:00,1595754000000.0,1093.32185
0.572,0.586,0.5515,0.5755,2020-07-26T08:00:00+00:00,1595750400000.0,3083.25145
0.5755,0.6,0.5625,0.564,2020-07-26T07:00:00+00:00,1595746800000.0,9236.0621
0.564,0.599,0.5625,0.5925,2020-07-26T06:00:00+00:00,1595743200000.0,2124.6052
0.5925,0.643,0.5905,0.618,2020-07-26T05:00:00+00:00,1595739600000.0,1044.53645
0.618,0.6445,0.5765,0.578,2020-07-26T04:00:00+00:00,1595736000000.0,16567.88495
0.578,0.614,0.5665,0.573,2020-07-26T03:00:00+00:00,1595732400000.0,5801.1173
0.573,0.5855,0.5395,0.545,2020-07-26T02:00:00+00:00,1595728800000.0,2502.67895
