close,high,low,open,startTime,time,volume
0.5725,0.5745,0.5675,0.5745,2020-07-20T23:00:00+00:00,1595286000000.0,0.0
0.429,0.433,0.4175,0.433,2020-07-27T23:00:00+00:00,1595890800000.0,258.0302
0.433,0.456,0.415,0.419,2020-07-27T22:00:00+00:00,1595887200000.0,803.32535
0.419,0.452,0.419,0.452,2020-07-27T21:00:00+00:00,1595883600000.0,90.32
0.452,0.4835,0.447,0.456,2020-07-27T20:00:00+00:00,1595880000000.0,3150.4106
0.456,0.4565,0.424,0.433,2020-07-27T19:00:00+00:00,1595876400000.0,77.728
0.433,0.433,0.4185,0.424,2020-07-27T18:00:00+00:00,1595872800000.0,41.072
0.424,0.424,0.396,0.4,2020-07-27T17:00:00+00:00,1595869200000.0,498.85445
0.4,0.438,0.4,0.433,2020-07-27T16:00:00+00:00,1595865600000.0,1038.224
0.433,0.442,0.4205,0.442,2020-07-27T15:00:00+00:00,1595862000000.0,371.51945
0.442,0.464,0.44,0.4565,2020-07-27T14:00:00+00:00,1595858400000.0,2277.48735
0.4565,0.467,0.451,0.459,2020-07-27T13:00:00+00:00,1595854800000.0,376.25185
0.459,0.473,0.456,0.468,2020-07-27T12:00:00+00:00,1595851200000.0,0.0
0.468,0.4825,0.456,0.4745,2020-07-27T11:00:00+00:00,1595847600000.0,10.032
0.4745,0.488,0.459,0.468,2020-07-27T10:00:00+00:00,1595844000000.0,150.4032
0.468,0.469,0.459,0.4615,2020-07-27T09:00:00+00:00,1595840400000.0,0.0
0.4615,0.4705,0.4495,0.4515,2020-07-27T08:00:00+00:00,1595836800000.0,456.6787
0.4515,0.4895,0.45,0.4795,2020-07-27T07:00:00+00:00,1595833200000.0,234.51635
0.4795,0.4845,0.437,0.4535,2020-07-27T06:00:00+00:00,1595829600000.0,266.7827
0.4535,0.47,0.4535,0.4625,2020-07-27T05:00:00+00:00,1595826000000.0,46.0
0.4625,0.4675,0.4365,0.438,2020-07-27T04:00:00+00:00,1595822400000.0,1344.7617
0.438,0.474,0.4315,0.4665,2020-07-27T03:00:00+00:00,1595818800000.0,943.79745
0.4665,0.4865,0.455,0.4825,2020-07-27T02:00:00+00:00,1595815200000.0,739.8032
0.4825,0.4915,0.445,0.4915,2020-07-27T01:00:00+00:00,1595811600000.0,4937.5595
0.4915,0.5005,0.4835,0.494,2020-07-27T00:00:00+00:00,1595808000000.0,0.0
0.494,0.5185,0.4825,0.5185,2020-07-26T23:00:00+00:00,1595804400000.0,1413.68845
0.5185,0.5505,0.5185,0.5445,2020-07-26T22:00:00+00:00,1595800800000.0,214.1405
0.5445,0.555,0.5435,0.552,2020-07-26T21:00:00+00:00,1595797200000.0,0.0
0.552,0.5675,0.548,0.56,2020-07-26T20:00:00+00:00,1595793600000.0,405.82145
0.56,0.56,0.5565,0.56,2020-07-26T19:00:00+00:00,1595790000000.0,0.0
0.56,0.562,0.5565,0.562,2020-07-26T18:00:00+00:00,1595786400000.0,0.0
0.562,0.565,0.5565,0.5565,2020-07-26T17:00:00+00:00,1595782800000.0,85.3116
0.5565,0.5565,0.5435,0.5455,2020-07-26T16:00:00+00:00,1595779200000.0,73.4354
0.5455,0.5515,0.54,0.5465,2020-07-26T15:00:00+00:00,1595775600000.0,0.0
0.5465,0.553,0.535,0.5515,2020-07-26T14:00:00+00:00,1595772000000.0,589.8785
