close,high,low,open,startTime,time,volume
29.37,30.5,28.21,28.7,2020-07-20T23:00:00+00:00,1595286000000.0,269.6552
25.1,27.14,25.0,26.83,2020-07-27T23:00:00+00:00,1595890800000.0,455.0622
26.83,27.75,22.38,23.62,2020-07-27T22:00:00+00:00,1595887200000.0,3403.3427
23.62,25.92,23.2,25.8,2020-07-27T21:00:00+00:00,1595883600000.0,11932.6417
25.8,28.67,25.28,28.67,2020-07-27T20:00:00+00:00,1595880000000.0,5809.8788
28.67,30.86,27.52,28.44,2020-07-27T19:00:00+00:00,1595876400000.0,6367.6655
28.44,29.06,27.11,27.81,2020-07-27T18:00:00+00:00,1595872800000.0,5730.3961
27.81,28.23,22.83,23.0,2020-07-27T17:00:00+00:00,1595869200000.0,24457.4705
23.0,28.6,22.57,27.36,2020-07-27T16:00:00+00:00,1595865600000.0,28729.9542
27.36,27.43,22.59,24.34,2020-07-27T15:00:00+00:00,1595862000000.0,5807.579
24.34,27.16,23.09,25.39,2020-07-27T14:00:00+00:00,1595858400000.0,23632.8208
25.39,31.91,25.0,31.57,2020-07-27T13:00:00+00:00,1595854800000.0,13223.5201
31.57,32.78,29.71,30.1,2020-07-27T12:00:00+00:00,1595851200000.0,1795.0786
30.1,33.39,28.5,32.13,2020-07-27T11:00:00+00:00,1595847600000.0,2220.7644
32.13,33.61,30.11,30.25,2020-07-27T10:00:00+00:00,1595844000000.0,778.4031
30.25,33.65,30.03,33.12,2020-07-27T09:00:00+00:00,1595840400000.0,3776.5933
33.12,33.48,29.0,32.31,2020-07-27T08:00:00+00:00,1595836800000.0,4942.6672
32.31,35.25,29.65,30.42,2020-07-27T07:00:00+00:00,1595833200000.0,5845.4168
30.42,33.0,26.22,26.22,2020-07-27T06:00:00+00:00,1595829600000.0,5740.2303
26.22,29.15,25.01,29.15,2020-07-27T05:00:00+00:00,1595826000000.0,5636.5148
29.15,29.19,23.77,24.65,2020-07-27T04:00:00+00:00,1595822400000.0,9896.4845
24.65,36.71,21.4,36.47,2020-07-27T03:00:00+00:00,1595818800000.0,6039.90075
36.47,37.23,35.8,37.23,2020-07-27T02:00:00+00:00,1595815200000.0,1911.49444
37.23,38.81,33.8,37.66,2020-07-27T01:00:00+00:00,1595811600000.0,8326.67302
37.66,42.28,36.28,42.28,2020-07-27T00:00:00+00:00,1595808000000.0,2311.52568
42.28,44.39,42.28,43.23,2020-07-26T23:00:00+00:00,1595804400000.0,74.5793
43.23,43.71,42.3,42.3,2020-07-26T22:00:00+00:00,1595800800000.0,461.84247
42.3,43.42,42.19,43.42,2020-07-26T21:00:00+00:00,1595797200000.0,233.18952
43.42,43.42,43.42,43.42,2020-07-26T20:00:00+00:00,1595793600000.0,188.0086
43.42,45.48,43.42,44.62,2020-07-26T19:00:00+00:00,1595790000000.0,1099.00206
44.62,48.02,43.52,47.8,2020-07-26T18:00:00+00:00,1595786400000.0,865.12901
47.8,48.98,45.97,48.94,2020-07-26T17:00:00+00:00,1595782800000.0,2321.96068
48.94,48.98,42.2,44.2,2020-07-26T16:00:00+00:00,1595779200000.0,6487.51357
44.2,45.95,44.2,45.88,2020-07-26T15:00:00+00:00,1595775600000.0,4.0664
45.88,48.04,45.87,47.98,2020-07-26T14:00:00+00:00,1595772000000.0,50.1082
47.98,48.05,47.82,48.05,2020-07-26T13:00:00+00:00,1595768400000.0,0.0
48.05,51.02,45.34,48.54,2020-07-26T12:00:00+00:00,1595764800000.0,5418.24984
48.54,48.57,44.78,44.78,2020-07-26T11:00:00+00:00,1595761200000.0,2137.93502
44.84,46.32,40.81,45.88,2020-07-26T10:00:00+00:00,1595757600000.0,10265.50109
45.88,49.31,45.36,46.26,2020-07-26T09:00:00+00:00,1595754000000.0,2464.03159
46.26,52.64,46.2,52.64,2020-07-26T08:00:00+00:00,1595750400000.0,2445.41749
52.64,56.0,52.0,52.0,2020-07-26T07:00:00+00:00,1595746800000.0,2338.32214
52.0,55.5,51.44,53.47,2020-07-26T06:00:00+00:00,1595743200000.0,2050.69834
53.17,55.5,51.06,51.06,2020-07-26T05:00:00+00:00,1595739600000.0,3701.88164
